iso3,country_name,transition,year,n_natural_classes,natural_loss_sum_km2,weight_sum,bfnee_sum_km2,continent,region_un,subregion,bfnee_per_loss,log_bfnee,log_natural_loss,log_weight_sum
MLI,Mali,2000_2005,2005,65,34477.6289064366,0.00511441956145208,176.333059418782,Africa,Africa,Western Africa,0.0051144195529601085,5.178029656041414,10.448094959092455,0.005101385340486972
MLI,Mali,2005_2010,2010,65,42972.1312694252,0.00288937669173199,124.162674472715,Africa,Africa,Western Africa,0.002889376691471133,4.829614287002509,10.668330345173539,0.0028852104661659774
MLI,Mali,2010_2015,2015,65,26987.953704494,0.00319984662924035,86.3573125431815,Africa,Africa,Western Africa,0.0031998466237475936,4.470006748510372,10.203182939217427,0.003194738014968785
MOZ,Mozambique,1995_2000,2000,65,327924.342838123,0.00610604427862274,2002.32055768701,Africa,Africa,Eastern Africa,0.0061060442794740565,7.6025613616463055,12.700541248160038,0.00608747792988934
MOZ,Mozambique,2000_2005,2005,65,56488.6912573186,0.00813333512357523,459.441456511327,Africa,Africa,Eastern Africa,0.008133335120448597,6.132185717345061,10.9418134448648,0.008100437809666811
MOZ,Mozambique,2005_2010,2010,65,22259.7642945909,0.00426486189062249,94.9348203136424,Africa,Africa,Eastern Africa,0.004264861885204753,4.563669005807239,10.01058095912739,0.004255793142644672
MOZ,Mozambique,2010_2015,2015,65,12234.0090333863,0.00365564221923808,44.7231599337544,Africa,Africa,Eastern Africa,0.0036556422193008056,3.822604951449798,9.412056714199858,0.0036489765990298526
MRT,Mauritania,1995_2000,2000,65,6970.12266634026,0.00440243295805682,30.6854977603445,Africa,Africa,Western Africa,0.004402432959828562,3.455859092304744,8.849531561994937,0.0043927705982962275
MRT,Mauritania,2000_2005,2005,65,7604.74131222132,0.00376579181682962,28.6378725744713,Africa,Africa,Western Africa,0.003765791813121684,3.3890530223617303,8.936658676895002,0.0037587189738341547
MRT,Mauritania,2005_2010,2010,65,9531.14601548041,0.0106175552488984,101.197469428799,Africa,Africa,Western Africa,0.01061755525142883,4.62690691649239,9.162425156552882,0.010561584839873647
MRT,Mauritania,2010_2015,2015,65,3268.32109435211,0.00835658043431151,27.31198812153,Africa,Africa,Western Africa,0.008356580437805529,3.3432853234870556,8.092337625929947,0.00832185752510992
MWI,Malawi,1995_2000,2000,65,39154.282089994,0.00321614190546779,125.925727452581,Africa,Africa,Eastern Africa,0.003216141906602898,4.8436020921747724,10.57529061160281,0.0032109811832059946
MWI,Malawi,2000_2005,2005,65,8906.0952400924,0.00415077450146107,36.9671929680927,Africa,Africa,Eastern Africa,0.004150774494492063,3.636722443886297,9.094603456098673,0.004142183800816327
MWI,Malawi,2005_2010,2010,65,7732.80790488119,0.0037949711177899,29.3457827111424,Africa,Africa,Eastern Africa,0.0037949711246051294,3.4126575526985303,8.953356634113913,0.003787788381347062
MWI,Malawi,2010_2015,2015,65,3242.48097244302,0.00340083139195907,11.0271311168455,Africa,Africa,Eastern Africa,0.003400831403657305,2.4871650241436285,8.084402406270256,0.0033950616424770134
NAM,Namibia,1995_2000,2000,65,41694.7285986754,0.00145620407807046,60.7160338429509,Africa,Africa,Southern Africa,0.00145620407863453,4.1225437649465455,10.638153970853969,0.0014551448410974098
